iter	Passed	Remaining
776	2375	681
777	2376	678
778	2377	674
779	2379	671
780	2380	667
781	2381	663
782	2382	660
783	2383	656
784	2384	653
785	2387	650
786	2388	646
787	2390	643
788	2391	639
789	2392	635
790	2393	632
791	2394	628
792	2401	626
793	2403	623
794	2404	620
795	2405	616
796	2406	613
797	2408	609
798	2409	606
799	2415	603
800	2417	600
801	2418	597
802	2419	593
803	2420	590
804	2422	586
805	2423	583
806	2424	579
807	2430	577
808	2432	574
809	2433	570
810	2434	567
811	2436	564
812	2437	560
813	2438	557
814	2439	553
815	2445	551
816	2447	548
817	2448	544
818	2450	541
819	2451	538
820	2452	534
821	2453	531
822	2454	527
823	2455	524
824	2461	522
825	2462	518
826	2464	515
827	2465	512
828	2466	508
829	2467	505
830	2468	502
831	2476	500
832	2478	496
833	2479	493
834	2480	490
835	2482	486
836	2483	483
837	2484	480
838	2493	478
839	2494	475
840	2495	471
841	2497	468
842	2498	465
843	2499	461
844	2506	459
845	2507	456
846	2508	453
847	2510	449
848	2511	446
849	2512	443
850	2513	440
851	2514	436
852	2518	434
853	2521	431
854	2522	427
855	2524	424
856	2525	421
857	2526	418
858	2527	414
859	2528	411
860	2529	408
861	2537	406
862	2538	403
863	2540	399
864	2541	396
865	2542	393
866	2543	390
867	2544	386
868	2545	383
869	2548	380
870	2549	377
871	2550	374
872	2551	371
873	2552	368
874	2553	364
875	2554	361
876	2555	358
877	2556	355
878	2563	352
879	2565	349
880	2566	346
881	2567	343
882	2568	340
883	2569	337
884	2570	333
885	2571	330
886	2572	327
887	2576	324
888	2577	321
889	2579	318
890	2580	315
891	2581	312
892	2582	309
893	2583	306
894	2584	303
895	2591	300
896	2593	297
897	2594	294
898	2595	291
899	2596	288
900	2597	285
901	2598	282
902	2599	279
903	2605	276
904	2607	273
905	2608	270
906	2609	267
907	2609	264
908	2610	261
909	2611	258
910	2612	255
911	2613	252
912	2614	249
913	2619	246
914	2621	243
915	2622	240
916	2624	237
917	2625	234
918	2626	231
919	2627	228
920	2628	225
921	2629	222
922	2633	219
923	2635	216
924	2636	213
925	2638	210
926	2639	207
927	2640	204
928	2641	201
929	2642	198
930	2643	195
931	2644	192
932	2648	190
933	2651	187
934	2653	184
935	2654	181
936	2655	178
937	2656	175
938	2657	172
939	2658	169
940	2659	166
941	2666	164
942	2667	161
943	2668	158
944	2669	155
945	2670	152
946	2671	149
947	2672	146
948	2673	143
949	2673	140
950	2677	137
951	2680	135
952	2681	132
953	2682	129
954	2683	126
955	2684	123
956	2685	120
957	2686	117
958	2687	114
959	2688	112
960	2693	109
961	2695	106
962	2696	103
963	2696	100
964	2697	97
965	2698	94
966	2699	92
967	2700	89
968	2701	86
969	2702	83
970	2708	80
971	2709	78
972	2710	75
973	2711	72
974	2712	69
975	2713	66
976	2714	63
977	2715	61
978	2716	58
979	2717	55
980	2718	52
981	2725	49
982	2726	47
983	2726	44
984	2727	41
985	2728	38
986	2729	35
987	2731	33
988	2732	30
989	2733	27
990	2736	24
991	2739	22
992	2740	19
993	2741	16
994	2742	13
995	2743	11
996	2744	8
997	2745	5
998	2746	2
999	2747	0
